Year,Month,Rate,Points
2006,1,6.15 ,0.5 
2006,2,6.25 ,0.6 
2006,3,6.32 ,0.6 
2006,4,6.51 ,0.6 
2006,5,6.60 ,0.5 
2006,6,6.68 ,0.5 
2006,7,6.76 ,0.5 
2006,8,6.52 ,0.4 
2006,9,6.40 ,0.5 
2006,10,6.36 ,0.4 
2006,11,6.24 ,0.5 
2006,12,6.14 ,0.4 
2007,1,6.22 ,0.4 
2007,2,6.29 ,0.4 
2007,3,6.16 ,0.4 
2007,4,6.18 ,0.5 
2007,5,6.26 ,0.4 
2007,6,6.66 ,0.4 
2007,7,6.70 ,0.4 
2007,8,6.57 ,0.4 
2007,9,6.38 ,0.5 
2007,10,6.38 ,0.5 
2007,11,6.21 ,0.4 
2007,12,6.10 ,0.5 
2008,1,5.76 ,0.4 
2008,2,5.92 ,0.5 
2008,3,5.97 ,0.5 
2008,4,5.92 ,0.4 
2008,5,6.04 ,0.5 
2008,6,6.32 ,0.7 
2008,7,6.43 ,0.6 
2008,8,6.48 ,0.7 
2008,9,6.04 ,0.7 
2008,10,6.20 ,0.6 
2008,11,6.09 ,0.7 
2008,12,5.29 ,0.7 
2009,1,5.05 ,0.7 
2009,2,5.13 ,0.7 
2009,3,5.00 ,0.7 
2009,4,4.81 ,0.7 
2009,5,4.86 ,0.7 
2009,6,5.42 ,0.7 
2009,7,5.22 ,0.7 
2009,8,5.19 ,0.7 
2009,9,5.06 ,0.7 
2009,10,4.95 ,0.7 
2009,11,4.88 ,0.7 
2009,12,4.93 ,0.7 
2010,1,5.03 ,0.7 
2010,2,4.99 ,0.7 
2010,3,4.97 ,0.7 
2010,4,5.10 ,0.7 
2010,5,4.89 ,0.7 
2010,6,4.74 ,0.7 
2010,7,4.56 ,0.7 
2010,8,4.43 ,0.7 
2010,9,4.35 ,0.7 
2010,10,4.23 ,0.8 
2010,11,4.30 ,0.8 
2010,12,4.71 ,0.7 